57451,2021,Bird species classification using transfer learning with multistage training,Journal,9-23,Machine Vision and Applications,10,9
57452,2011,Ordered minimum distance bag-of-words approach for aerial object identification,Journal,7-24,Machine Vision and Applications,11,8
57453,2020,Consumable Fish Classification Using k-Nearest Neighbor,Journal,1-10,Machine Vision and Applications,12,7
57454,2014,Revisiting local descriptor based image-to-class measure for few-shot learning,Journal,20-37,IEEE Transactions on Pattern Analysis and Machine Intelligence,13,6
57455,2015,Revisiting few-shot learning for facial expression recognition,Journal,11-34,IEEE Transactions on Pattern Analysis and Machine Intelligence,14,5
57456,2016,3D bioprinting of tissues and organs,Journal,9-24,IEEE Transactions on Pattern Analysis and Machine Intelligence,15,4
57457,2021,CNN-based segmentation of medical imaging data,Journal,7-25,IEEE Transactions on Pattern Analysis and Machine Intelligence,16,3
57458,2022,CRF learning with CNN features for image segmentation,Journal,1-11,Elsevier Neurocomputing,17,2
57459,2021,HyperDense-Net: a hyper-densely connected CNN for multi-modal image segmentation,Journal,20-38,Elsevier Neurocomputing,18,1
57460,2022,"The 3D printing handbook: technologies, design and applications",Book,232,3,Cambridge,Cambridge University Press
57461,1996,A survey of content based 3D shape retrieval methods,Book,100,2,Cambridge,Cambridge University Press
57462,1999,Four?dimensional (4D) PET/CT imaging of the thorax: 4D PET/CT,Book,912,1,Cambridge,Cambridge University Press
57463,2000,Feasibility study of 4D CAD in commercial construction,Book,322,1,London,UCL Press
57464,2016,Automatically designing CNN architectures for medical image segmentation,Book,212,2,London,UCL Press
57465,2018,Data mining: practical machine learning tools and techniques with Java implementations,Book,412,1,London,UCL Press
57466,2017,Introduction to data mining with case studies,Book,456,2,Oxford,Oxford University Press
57467,2020,"Data mining: concepts, models, methods, and algorithms",Book,99,1,Oxford,Oxford University Press
57468,2022,Advanced data mining techniques,Book,78,3,Oxford,Oxford University Press
57469,2012,Convolutional neural network for convective storm nowcasting using 3-D Doppler weather radar data,Book,347,1,Hull,Hull University Press
